News Headline,Number of words,Confidence Score,Decision,Sentiment
"Markets Live : Sensex drops 100 pts , Nifty tests 10 , 750 ; Dena Bank nosedives 19 %, Vijaya Bank 6 % ",23,-1,0,NEGATIVE
Gold : Gold futures trade at a discount to spot rates,11,0.99,2,POSITIVE
Dollar returns : Dollar returns make a smart comeback in 2018,11,1,2,POSITIVE
Hartal over Sabarimala issue begins in Kerala,7,-0.98,0,NEGATIVE
"Gold : Gold gains on global growth fears , falling Asian stocks",12,0.83,2,POSITIVE
"bulk deals : Wednesday bulk deals : RCom , Jet Airways , MTNL",13,-0.76,0,NEGATIVE
oil : Oil prices drop amid currency and stock market turmoil,11,-0.98,0,NEGATIVE
"sensex : Indices fall on China woes , Nifty slips below 10 , 800",14,-1,0,NEGATIVE
Why a slump in US may not be bad news for Indian IT,13,-0.96,0,NEGATIVE
Boost for banks with big loans against property,8,0.64,1,NEUTRAL
"Dena Bank Share Price : Traders expect Vijaya , Dena Bank shares to fall today",15,-1,0,NEGATIVE
"Star India wants more buck for its IPL bang , begins pitch",12,-0.59,1,NEUTRAL
"Brexit : Economic concerns boost bonds , yen ; Wall Street recovers",12,-0.53,1,NEUTRAL
"AP FACT CHECK : Trump claims on border , drugs , Mattis",12,-0.86,0,NEGATIVE
How to sustain the good news on NPAs,8,0.94,2,POSITIVE
Why slowing economies could prod US and China to reach deal,11,-1,0,NEGATIVE
Bruised GOP considers Trump Pennsylvania chances in 2020,8,-0.98,0,NEGATIVE
"Trade setup for Thursday : Trade Setup : Nifty50 stuck in a range , may look to consolidate",18,-1,0,NEGATIVE
ETMarkets Evening Podcast : Was Wednesday fall a temporary blip ? ,11,-1,0,NEGATIVE
stock derivatives : How physical settlement of stock derivatives is going to impact you,14,0.97,2,POSITIVE
"sensex : After Market : Metal stocks melt , Jet dives ; investors lose Rs 1 . 39 lakh crore",20,-1,0,NEGATIVE
MSMEs need more access to formal finance,7,-1,0,NEGATIVE
"Nilesh Shah : Passive fund flows into India to continue as MSCI maintains status quo on weight : Nilesh Shah , Kotak AMC",23,0.96,2,POSITIVE
Government releases 6 - croreth LPG connections under PMUY,9,0.86,2,POSITIVE
"sensex : Nifty halts 5 - day rally , ends below 10 , 800 ; Sensex slides 363 pts",19,-1,0,NEGATIVE
Growth momentum is strong for Indian IT companies : Former NASSCOM President,12,1,2,POSITIVE
"Reliance Mutual Fund : Go for value investing in these 3 sectors : Manish Gunwani , Reliance MF",18,0.93,2,POSITIVE
Direct tax - GDP ratio of 5 . 98 % during FY18 best in 10 years : Finance Ministry,19,0.98,2,POSITIVE
Arun Jaitley : Indian economy on track to maintain high growth rate : Finance Ministry,15,1,2,POSITIVE
"initial public offering : SME IPOs make a mark in 2018 ; record Rs 2 , 455 crore garnered",19,0.99,2,POSITIVE
European shares : European shares start 2019 deep in the red,11,0.52,1,NEUTRAL
"ICICI Pru AMC : In 2019 , invest in 10 equal instalments and then wait : Nimesh Shah , ICICI Pru AMC",22,0.95,2,POSITIVE
"nokia 9 pureview : Nokia 9 likely to feature five - camera setup , in - screen fingerprint sensor",19,-0.94,0,NEGATIVE
Agusta case : Attempts being made to corner Sonia and Rahul Gandhi before Lok Sabha polls,16,-0.99,0,NEGATIVE
"Outlook for realty in 2019 : Outlook 2019 : Residential realty will not make you money ; commercial will , or wait for REITs",24,-1,0,NEGATIVE
"IT Outlook 2019 : Outlook 2019 : IT swings between big opportunities , small challenges",15,0.89,2,POSITIVE
"Ford India sales down 18 per cent in December to 24 , 420 units",14,-0.97,0,NEGATIVE
Mutual fund advisors share investment tips for 2019,8,0.89,2,POSITIVE
"Angel Broking : Expect 12 - 14 % earnings growth over next couple of years : Mayuresh Joshi , Angel Broking",21,0.97,2,POSITIVE
Asian currencies : Most Asian currencies decline as factory activity fizzles,11,-0.99,0,NEGATIVE
startups : PE - VC fundings close  18 at record high of $33 billion,14,-0.78,0,NEGATIVE
"Saurabh Mukherjea : Well - run smallcap companies will find 2019 a fertile year : Saurabh Mukherjea , Marcellus Investment",20,1,2,POSITIVE
Taiwan reunification with China  inevitable : Xi,7,-1,0,NEGATIVE
"China slowdown , trade disputes weigh on Asia factory activity",10,-1,0,NEGATIVE
private sector banks : Private banks are waking up to the call of heartland,14,0.97,2,POSITIVE
Hero MotoCorp pitches for 18 % GST on two - wheelers,11,0.95,2,POSITIVE
"India says Salut , Pernod Ricard raises a profit",9,0.91,2,POSITIVE
"ASEAN : India cuts duty on refined , crude palm oil from Asean",13,-0.99,0,NEGATIVE
BJP : Tensions among farmers in Uttar Pradesh on the rise as stray cows run amok,16,-0.96,0,NEGATIVE
"Hyundai scion emerges from father shadow , says to complete ownership revamp",12,0.98,2,POSITIVE
ETMarkets Morning podcast : ETMarkets Morning Podcast : RBI relief for MSMEs ; PM Modi 2019 election talks and other top news,22,0.94,2,POSITIVE
dalal street : It could be a curious mix of greed and fear on D - Street,17,-0.84,0,NEGATIVE
emerging markets : MSCI status quo on weight cap brings relief to India,13,0.99,2,POSITIVE
Stock Market : Algos arent causing the wild stock market swings,11,0.77,2,POSITIVE
China : China factory activity contracts - The Economic Times,10,-0.82,0,NEGATIVE
Forex : Yen gains as new year trade starts on cautious note,12,-0.98,0,NEGATIVE
2019 may finally put an end to India banking woes,10,0.76,2,POSITIVE
"oil : Oil starts 2019 with gains , as traders gear up for volatile year",15,0.97,2,POSITIVE
Jio plans packs of affordable ultra broadband,7,0.99,2,POSITIVE
Handsets association unhappy with draft electronics policy,7,-1,0,NEGATIVE
Sazerac raises a toast with John Distilleries stake buy,9,0.9,2,POSITIVE
Government may sow big scheme to weed out farm distress,10,-0.98,0,NEGATIVE
The hard truth on farm loan waivers,7,-0.64,1,NEUTRAL
View : Narendra Modi chances of returning to power in 2019 elections are 50 - 50,16,-0.95,0,NEGATIVE
"For middle class , we need to change our thinking : Narendra Modi",13,-0.83,0,NEGATIVE
"In a first , NCLT allows government to reopen IL books",11,0.92,2,POSITIVE
"Trade Setup for Wednesday : Trade setup : Nifty50 needs to move past 100 - DMA at 10 , 904 level",21,-1,0,NEGATIVE
"NBFCs still lost deep in the woods , says Uday Kotak",11,-0.73,0,NEGATIVE
"Rupee : Rupee begins 2019 on a high , jumps 34 paise",12,-0.77,0,NEGATIVE
Pashupati Advani : Price of oil is going to drive our markets : Pashupati Advani,15,0.99,2,POSITIVE
"silver : Silver weakens in futures trade , down Rs 57",11,-1,0,NEGATIVE
"state bank of india : 2019 to augur very well for PSU banks , specially SBI : Dinesh Kumar Khara",20,0.99,2,POSITIVE
Flipkart : Here why the cash - out mentality is becoming popular with startup founders,15,0.61,1,NEUTRAL
JC2 Ventures :  India is becoming an entrepreneurship model for the world : John Chambers,15,1,2,POSITIVE
India remains fastest growing economy ahead of China despite up / downs,12,0.98,2,POSITIVE
"S Naren : 2019 January much better for stock - pickers than 2018 January : S Naren , ICICI Pru AMC",21,-0.93,0,NEGATIVE
"Gold Rate Today : Gold trades higher in morning trade , silver down",13,0.5,1,NEUTRAL
"PSU share sale hits record high of Rs 77 , 417 crore in 2018",14,1,2,POSITIVE
PPF regains the crown with best returns,7,1,2,POSITIVE
Asbestos : Baby products of Himalaya and Chicco under scanner,10,-1,0,NEGATIVE
Invesco India Tax Fund : Fund Review,7,0.51,1,NEUTRAL
RBI vs Govt in 2018 : A  husband - wife  relation that turned stormy,14,-1,0,NEGATIVE
election strategy : Investment strategy for election year ? Just dont think too much,14,-0.94,0,NEGATIVE
Departure of Trump GOP critics in Senate leaves a void,10,-0.99,0,NEGATIVE
US North Korea : Kim ready to talk more with Trump but says not to test North,17,-0.99,0,NEGATIVE
NCD : Current NCD offers attractive : Experts - The Economic Times,12,0.99,2,POSITIVE
"RBI favours liquidity limit on income , liquid funds",9,-0.92,0,NEGATIVE
United States dollar : Dollar ends strongest year since 2015 on defensive note,13,-0.98,0,NEGATIVE
global markets : Double whammy turns into twin boosters in 2018,11,0.87,2,POSITIVE
Stocks to buy : Stocks that could be top scorers of 2019,12,0.98,2,POSITIVE
JC2 Ventures :  India is becoming an entrepreneurship model for the world  ,12,1,2,POSITIVE
IIFL : IIFL Abhimanyu Sofat 2 largecap bets for 2019,10,0.8,2,POSITIVE
Indian rupee : Rupee rises 8 paise to 69 . 69 against dollar,13,-1,0,NEGATIVE
Flipkart : Here why the cash - out mentality is becoming popular with founders,14,0.53,1,NEUTRAL
ETMarkets Morning podcast : ETMarkets Morning Podcast : RBI says bank loan crisis ebbing ;  Apple  of govt eye and other news on New Years day,26,0.91,2,POSITIVE
"stock news : Trade optimism lifts stocks , but 2018 ends in red",13,-0.97,0,NEGATIVE
HR resolutions : Skilling staff and technological advancement key focus areas for companies,13,0.99,2,POSITIVE
Stage set for general elections : Here the political box office,11,0.65,1,NEUTRAL
"Government mulling policy sops for Apple , others",8,-0.99,0,NEGATIVE
"This week in Auto : New car demand skids , Hero seeks GST cut on two - wheelers",18,-0.91,0,NEGATIVE
"Suresh Prabhu to meet banking , finance secys next week to resolve credit supply issues to exporters",17,0.95,2,POSITIVE
This week in MFs : HDFC MF regains top spot among 43 fund houses,14,0.6,1,NEUTRAL
UAE Crown Prince to visit Pak ; likely to announce $6 . 2 bn financial assistance,16,0.94,2,POSITIVE
Market considers PM Modi as  Virat Kohli of politic ; stay put despite volatility,14,0.54,1,NEUTRAL
Movers & Shakers : Check out the top gainers and losers of D - Street this week,17,0.86,2,POSITIVE
18 stocks rise 10 - 50 % even as Sensex falls 1 % in 5 days,16,-0.98,0,NEGATIVE
Tata Harrier to Suzuki Jimny : Watch out for these UVs this year,13,1,2,POSITIVE
"D - Street looking for stable govt ; unlike 2014 , there is no Modi wave in 2019 : Ambareesh Baliga",21,-0.97,0,NEGATIVE
High Court dismisses PIL against loan waiver in Madhya Pradesh,10,-0.89,0,NEGATIVE
"Wall Street rebounds on robust jobs report , dovish Powell remarks",11,-0.91,0,NEGATIVE
The Moneycontrol Show | Best investment practices ; FDI changes for e - commerce ; Market outlook,17,0.97,2,POSITIVE
"After a volatile 2018 , agri commodities gear up for 2019",11,-0.85,0,NEGATIVE
Fed Chair Jerome Powell says he would not resign if asked,11,-0.99,0,NEGATIVE
"SEBI issues directive to stock brokers , depository participants using AI tools",12,-0.93,0,NEGATIVE
Managing Money with Moneycontrol I Best investment practices to follow in 2019,12,0.99,2,POSITIVE
Markets @ Moneycontrol I Bulls tread cautiously on D - Street,11,-0.83,0,NEGATIVE
"India is set for a good run in 2019 , says Reliance Mutual Fund",14,0.71,2,POSITIVE
Podcast | Digging Deeper : Swiggy to Zomato - Food delivery apps under greater scrutiny,15,-0.99,0,NEGATIVE
Robust employment report underscores US economic strength,7,0.97,2,POSITIVE
"India should be a bright spot in 2019 due to its earnings growth , says HSBC Tushar Pradhan",18,0.99,2,POSITIVE
"Dollar might weaken throughout 2019 , taking the pressure off EMs : Adrian Mowat",14,-0.98,0,NEGATIVE
US job growth surges in December ; unemployment rate rises,10,0.66,1,NEUTRAL
Rupee recovers 48 paise to 69 . 72 against US dollar,11,-0.97,0,NEGATIVE
"The Market Podcast : Apple forecast cut , PM revelation on Urjit Patel , and a lousy start to 2019",20,-1,0,NEGATIVE
3 Point Analysis | Should you invest in gold in 2019 ? ,12,-0.99,0,NEGATIVE
"The Market Podcast : Apple forecast cut , PM revelation on Urjit Patel , and a lousy start to 2018",20,-1,0,NEGATIVE
"An evening walk down Dalal Street | Sensex ends 181 points higher , Nifty around 10 , 700",18,1,2,POSITIVE
Transcript| BSE Limited Q2 FY19 Earnings Conference Call,8,-0.96,0,NEGATIVE
Transcript| Bharti Airtel Q2 FY2019 Earnings Conference Call,8,-0.96,0,NEGATIVE
Fiscal deficit at worst will be 3 . 5 % for FY19 : ICICI Bank Prasanna,16,-1,0,NEGATIVE
Top 5 fundamental picks from Centrum Broking that could return 14 - 66 % in a year,17,1,2,POSITIVE
  Sensex has grown 100 times in 32 years ; Many stocks could turn multibaggers in 2019  ,16,1,2,POSITIVE
Sebi adds Sarath & Associates in CA firms list to conduct forensic audit of listed cos,16,0.99,2,POSITIVE
"Buy or Sell | Market to be range - bound with negative bias , stay stock specific",17,-0.99,0,NEGATIVE
Quick Take | A bull case for investing in gold,10,0.95,2,POSITIVE
2019 to be a good year for mid - smallcaps ; 15 picks by Equirus could return 5 - 93 % ,21,-0.53,1,NEUTRAL
  Sensex has grown 100 time in 32 years ! Many stocks could turn multibaggers in 2019  ,16,1,2,POSITIVE
Weekly Tactical Pick : Robust fundamentals make Page Industries a bullish bet,12,0.98,2,POSITIVE
Gold nears $1300 - level for the first time since mid - 2018 . Time for the metal to shine finally ? ,22,0.76,2,POSITIVE
"2019 Outlook | Latest & Breaking News on 2019 Outlook | Photos , Videos , Breaking Stories and Articles on 2019 Outlook",22,1,2,POSITIVE
"Rahul Gandhi attacks PM Narendra Modi , Arun Jaitley over low investments , cites media report",16,-1,0,NEGATIVE
Opinion | Ecommerce in India :  Who will bell the cat ? ,12,-0.87,0,NEGATIVE
100 - word take | PMI shows Goldilocks moment for Indian economy,12,0.98,2,POSITIVE
India services sector activity moderates in December ; employment rises,10,-0.66,1,NEUTRAL
Anand Rathi expects rebound in Kharif crop prices in coming months,11,0.95,2,POSITIVE
Pioneering Southwest Airlines co - founder Herb Kelleher dies at 87,11,-0.82,0,NEGATIVE
Google shifted $23 billion to tax haven Bermuda in 2017,10,-1,0,NEGATIVE
"D - Street Buzz : Nifty IT underperforms with Infosys , TCS down 1 % each ; Vedanta hits new 52 - week low",24,-0.99,0,NEGATIVE
"CLSA says brace for volatility , sets Nifty target for 2019 - end at 11 , 000",17,0.57,1,NEUTRAL
Telangana govt allots Rs 500 cr for modernisation of powerlooms in Sircilla,12,0.97,2,POSITIVE
"Oil slips on economic downturn fears , but OPEC cuts offer support",12,-0.53,1,NEUTRAL
What changed for the market while you were sleeping ? Top 10 things to know,15,0.94,2,POSITIVE
A morning walk down Dalal Street | Break below crucial support at 10600 would extend fall further towards 10500,19,-0.97,0,NEGATIVE
Global markets wager on Fed rate cut as slowdown fears swell,11,-0.94,0,NEGATIVE
"Economy in dire straits , FM Arun Jaitley defending defence deals : Congress",13,-0.97,0,NEGATIVE
"Wall Street sinks 2 percent on weak factory data , Apple shock",12,-1,0,NEGATIVE
Wall Street rattled by Apple sales warning,7,-1,0,NEGATIVE
"SEBI comes out with rules for single regime for FPI , NRI fund flows",14,0.81,2,POSITIVE
Back series GDP data captured structural changes in the economy : Minister,12,0.95,2,POSITIVE
Trade Setup for Friday : Top 15 things to know before Opening Bell,13,0.73,2,POSITIVE
It official : Interim Budget will be presented on February 1,11,-0.93,0,NEGATIVE
Rupee dips 2 paise to 70 . 20 against US Dollar,11,-1,0,NEGATIVE
"SEBI allows custodial services in commodity mkt , paves way for MF entry",13,0.99,2,POSITIVE
Quick Take | The choice for the Centre is either to overshoot the fiscal deficit target or sacrifice growth,19,-1,0,NEGATIVE
"Investors lose over Rs 2 . 6 lakh crore in 2 sessions ; 5 factors dragging Sensex , Nifty",19,-0.98,0,NEGATIVE
PMI contraction suggests China gasping for domestic revival incentives & breakthrough in trade talks,14,-1,0,NEGATIVE
Technical View : Nifty forms large bearish candle ; go short on rallies,13,0.66,1,NEUTRAL
"An evening walk down Dalal Street | Bearish momentum continues as Sensex cracks 377 pts , Nifty breaches 10 , 700",21,0.98,2,POSITIVE
CarDekho raises $110 mn to expand used car biz,9,-0.83,0,NEGATIVE
"Margin of safety works , IPOs ( often ) dont : Key investing lessons from 2018",16,-0.89,0,NEGATIVE
"Ideas for Profit | Subdued sentiments , macro weigh on auto sales in December 2018",15,-0.94,0,NEGATIVE
Transcript| Dr . Reddy Laboratories Limited Q2 FY19 Earnings Conference Call,11,-0.64,1,NEUTRAL
Transcript| Adani Port and Special Economic Zone Q2 FY19 Earnings Conference Call,12,-0.56,1,NEUTRAL
"Experts prefer largecaps for investment in 2019 , 10 names that may give average return of 23 % ",18,-0.97,0,NEGATIVE
"Politics calling again for Bhaichung Bhutia , this time in Sikkim",11,-0.83,0,NEGATIVE
Transcript| Lupin Limited Q2 FY - 19 Earnings Conference Call,10,-0.95,0,NEGATIVE
Quick Take : Spectre of a global slowdown haunts 2019,10,0.95,2,POSITIVE
"Focused NBFCs will remain relevant , can create wealth in long term : S Krishna Kumar",16,1,2,POSITIVE
Risk - off environment threatens an even deeper decline in copper prices in 2019,14,-0.95,0,NEGATIVE
Global growth to be around 3 . 5 % for most quarters in 2019 : Morgan Stanley,17,0.89,2,POSITIVE
Opinion | New rules will curb abuse by ecommerce giants,10,0.88,2,POSITIVE
Rupee to be in 70 - 72 range against dollar in 2019 : ICICI Bank,15,-1,0,NEGATIVE
Cathay Pacific makes good on first - class ticket blunder,10,0.94,2,POSITIVE
Gold prices to trade higher today : Angel Commodities,9,0.93,2,POSITIVE
"  Purification , protests and a death : What happened in 24 hours since 2 women entered Sabarimala",17,-1,0,NEGATIVE
"Positive on corporate banks , cement andÂ consumption themes in 2019 : Â Future Generali",13,0.99,2,POSITIVE
"Wall Street ekes out gain , Apple cuts revenue forecast after the bell",13,-0.97,0,NEGATIVE
"Oil prices fall amid currency and share market turmoil , crude supply surge",13,-0.97,0,NEGATIVE
"Technical Views | Top buy & sell ideas by Ashwani Gujral , Sudarshan Sukhani , Prakash Gaba for short term",20,1,2,POSITIVE
"Apple cuts forecast , citing weak China sales amid trade tensions",11,-1,0,NEGATIVE
"A morning walk down Dalal Street | Weakness likely to continue , Nifty may hit 10 , 500",18,-0.91,0,NEGATIVE
"Gold off six - and - a - half month peak on equity rebound , stronger dollar",17,-0.85,0,NEGATIVE
Market Headstart : Nifty50 is likely to open higher ; 3 stocks which could give 6 - 11 % return,20,-1,0,NEGATIVE
What changed for the market while you were sleeping ? 10 things you should know,15,-0.66,1,NEUTRAL
Transcript| Elecon Engineering Company Limited Q2 FY - 19 Earnings Conference Call,12,0.6,1,NEUTRAL
"India first principle guiding our foreign policy , says Narendra Modi ; promises to bring back black money",18,0.99,2,POSITIVE
Sebi allows ACE Derivatives and Commodity Exchange to shut operations,10,-0.77,0,NEGATIVE
Uber India revenue zooms to Rs 21 . 5 cr in FY18,12,-0.76,0,NEGATIVE
"Rupee tumbles 75 paise , logs 1st loss in four sessions",11,-1,0,NEGATIVE
Trade Setup for Thursday : Top 15 things to know before Opening Bell,13,-0.69,1,NEUTRAL
100 - word take : Weak December Manufacturing PMI another reason for RBI to cut rates,16,-1,0,NEGATIVE
"An evening walk down Dalal Street | Sensex cracks over 360 points , Nifty just below 10 , 800 ; midcaps decline",22,-1,0,NEGATIVE
"As steel cycle turns south , buyers of distressed assets will be forced to redo math",16,-0.99,0,NEGATIVE
